TrialNumber,SimulatedState
1,FastCorrect
2,NoResponse
3,SlowWrong
4,FastWrong
5,SlowCorrect
6,SlowCorrect
7,FastWrong
8,FastCorrect
9,SlowWrong
10,NoResponse
11,NoResponse
12,SlowCorrect
13,FastWrong
14,FastCorrect
15,SlowWrong
16,FastWrong
17,SlowWrong
18,NoResponse
19,SlowCorrect
20,FastCorrect
21,SlowWrong
22,FastCorrect
23,NoResponse
24,SlowCorrect
25,FastWrong
26,FastCorrect
27,SlowCorrect
28,FastWrong
29,NoResponse
30,SlowWrong
31,NoResponse
32,FastWrong
33,SlowWrong
34,FastCorrect
35,SlowCorrect
36,SlowCorrect
37,NoResponse
38,FastCorrect
39,FastWrong
40,SlowWrong
41,FastWrong
42,SlowCorrect
43,SlowWrong
44,NoResponse
45,FastCorrect
46,SlowWrong
47,NoResponse
48,SlowCorrect
49,FastCorrect
50,FastWrong
51,FastCorrect
52,NoResponse
53,SlowWrong
54,FastWrong
55,SlowCorrect
56,SlowCorrect
57,FastWrong
58,FastCorrect
59,SlowWrong
60,NoResponse
61,NoResponse
62,SlowCorrect
63,FastWrong
64,FastCorrect
65,SlowWrong
66,FastWrong
67,SlowWrong
68,NoResponse
69,SlowCorrect
70,FastCorrect
71,SlowWrong
72,FastCorrect
73,NoResponse
74,SlowCorrect
75,FastWrong
76,FastCorrect
77,SlowCorrect
78,FastWrong
79,NoResponse
80,SlowWrong
81,NoResponse
82,FastWrong
83,SlowWrong
84,FastCorrect
85,SlowCorrect
86,SlowCorrect
87,NoResponse
88,FastCorrect
89,FastWrong
90,SlowWrong
91,FastWrong
92,SlowCorrect
93,SlowWrong
94,NoResponse
95,FastCorrect
96,SlowWrong
97,NoResponse
98,SlowCorrect
99,FastCorrect
100,FastWrong
101,FastCorrect
102,NoResponse
103,SlowWrong
104,FastWrong
105,SlowCorrect
106,SlowCorrect
107,FastWrong
108,FastCorrect
109,SlowWrong
110,NoResponse
111,NoResponse
112,SlowCorrect
113,FastWrong
114,FastCorrect
115,SlowWrong
116,FastWrong
117,SlowWrong
118,NoResponse
119,SlowCorrect
120,FastCorrect
121,SlowWrong
122,FastCorrect
123,NoResponse
124,SlowCorrect
125,FastWrong
126,FastCorrect
127,SlowCorrect
128,FastWrong
129,NoResponse
130,SlowWrong
131,NoResponse
132,FastWrong
133,SlowWrong
134,FastCorrect
135,SlowCorrect
136,SlowCorrect
137,NoResponse
138,FastCorrect
139,FastWrong
140,SlowWrong
141,FastWrong
142,SlowCorrect
143,SlowWrong
144,NoResponse
145,FastCorrect
146,SlowWrong
147,NoResponse
148,SlowCorrect
149,FastCorrect
150,FastWrong
151,FastCorrect
152,NoResponse
153,SlowWrong
154,FastWrong
155,SlowCorrect
156,SlowCorrect
157,FastWrong
158,FastCorrect
159,SlowWrong
160,NoResponse
161,NoResponse
162,SlowCorrect
163,FastWrong
164,FastCorrect
165,SlowWrong
166,FastWrong
167,SlowWrong
168,NoResponse
169,SlowCorrect
170,FastCorrect
171,SlowWrong
172,FastCorrect
173,NoResponse
174,SlowCorrect
175,FastWrong
176,FastCorrect
177,SlowCorrect
178,FastWrong
179,NoResponse
180,SlowWrong
181,NoResponse
182,FastWrong
183,SlowWrong
184,FastCorrect
185,SlowCorrect
186,SlowCorrect
187,NoResponse
188,FastCorrect
189,FastWrong
190,SlowWrong
191,FastWrong
192,SlowCorrect
193,SlowWrong
194,NoResponse
195,FastCorrect
196,SlowWrong
197,NoResponse
198,SlowCorrect
199,FastCorrect
200,FastWrong
201,FastCorrect
202,NoResponse
203,SlowWrong
204,FastWrong
205,SlowCorrect
206,SlowCorrect
207,FastWrong
208,FastCorrect
209,SlowWrong
210,NoResponse
211,NoResponse
212,SlowCorrect
213,FastWrong
214,FastCorrect
215,SlowWrong
216,FastWrong
217,SlowWrong
218,NoResponse
219,SlowCorrect
220,FastCorrect
221,SlowWrong
222,FastCorrect
223,NoResponse
224,SlowCorrect
225,FastWrong
226,FastCorrect
227,SlowCorrect
228,FastWrong
229,NoResponse
230,SlowWrong
231,NoResponse
232,FastWrong
233,SlowWrong
234,FastCorrect
235,SlowCorrect
236,SlowCorrect
237,NoResponse
238,FastCorrect
239,FastWrong
240,SlowWrong
241,FastWrong
242,SlowCorrect
243,SlowWrong
244,NoResponse
245,FastCorrect
246,SlowWrong
247,NoResponse
248,SlowCorrect
249,FastCorrect
250,FastWrong
